统计指标,数值
样本总数,"30,000"
特征字段数（原始）,26
正样本数（点击）,"6,885"
负样本数（未点击）,"23,115"
正样本比例,22.95%
用户数量,"9,483"
商品数量,"22,519"
品类数量,200
品牌数量,500
