Model,AUC,LogLoss,Accuracy,Precision,Recall,F1-Score
基线RF,0.5788643847793962,0.5323995302635103,0.7705,0.0,0.0,0.0
+LASSO特征筛选,0.5681233565681743,0.533847738992391,0.7705,0.0,0.0,0.0
+SMOTE重采样,0.5599210225906244,0.5542407908604692,0.7581666666666667,0.27976190476190477,0.03413217138707335,0.060841423948220064
+贝叶斯优化,0.554101080590543,0.5540311914116632,0.7675,0.4,0.026143790849673203,0.049079754601226995
+CCP剪枝（完整优化）,0.5591621319376405,0.6169404406887837,0.768,0.2222222222222222,0.004357298474945534,0.008547008547008548
