Model,AUC,LogLoss,Accuracy,Precision,Recall,F1-Score
基线RF,0.5681233565681743,0.533847738992391,0.7705,0.0,0.0,0.0
贝叶斯优化RF,0.554101080590543,0.5540311914116632,0.7675,0.4,0.026143790849673203,0.049079754601226995
优化随机森林（完整）,0.5591621319376405,0.6169404406887837,0.768,0.2222222222222222,0.004357298474945534,0.008547008547008548
Logistic Regression,0.5383187940817525,0.6013741146802856,0.7258333333333333,0.31337047353760444,0.16339869281045752,0.21479713603818615
Decision Tree,0.5488539588691006,0.6664724099705053,0.764,0.19047619047619047,0.008714596949891068,0.016666666666666666
GBDT,0.5648147755428912,0.5387878684495306,0.7695,0.4117647058823529,0.010167029774872912,0.019844082211197732
XGBoost,0.5601299492245444,0.5389642592942867,0.77,0.36363636363636365,0.002904865649963689,0.005763688760806916
LightGBM,0.5634133962186793,0.5382357648935704,0.7696666666666667,0.2727272727272727,0.002178649237472767,0.004322766570605188
