Model,AUC,LogLoss,Accuracy,Precision,Recall,F1-Score
基线RF,0.7492240843453445,0.4958328277948269,0.75735,0.6840958605664488,0.06252489048187973,0.11457763181901114
+LASSO特征筛选,0.7513374188687947,0.49344285104479424,0.75885,0.6779964221824687,0.0754679410593389,0.1358179537717255
+SMOTE重采样,0.7412394543990417,0.5043993490075019,0.7565,0.5490956072351422,0.16925527678215851,0.258751902587519
+贝叶斯优化,0.7466331078227093,0.4941881730837546,0.7583,0.5442978322337417,0.22998805256869773,0.32334826427771557
+CCP剪枝（完整优化）,0.7468371506139444,0.4937749875855239,0.7587,0.5464454976303318,0.22958980485862207,0.32333146382501404
