Model,AUC,LogLoss,Accuracy,Precision,Recall,F1-Score
基线RF,0.7513374188687947,0.49344285104479424,0.75885,0.6779964221824687,0.0754679410593389,0.1358179537717255
贝叶斯优化RF,0.7466331078227093,0.49418817308375473,0.7583,0.5442978322337417,0.22998805256869773,0.32334826427771557
优化随机森林（完整）,0.7468371506139444,0.4937749875855239,0.7587,0.5464454976303318,0.22958980485862207,0.32333146382501404
Logistic Regression,0.7310729305942357,0.5102454984310385,0.744,0.4861816130851664,0.343289526085225,0.4024276377217554
Decision Tree,0.6985899776329324,0.7756811290776785,0.7226,0.4355392156862745,0.35384309040223016,0.3904636343660734
GBDT,0.7530259700155475,0.485019997429217,0.7597,0.5482573726541555,0.24432497013142174,0.33801652892561984
XGBoost,0.7504403577922516,0.48581317007428243,0.76025,0.5494553376906318,0.2510951812027081,0.34467678010113434
LightGBM,0.7518319314896947,0.48482981119779234,0.7581,0.541704442429737,0.23795300677021108,0.33065855008301054
